Price_Date,QQQ,NVDA,XLK,VTI
4/2/2018,155.51,221.05,63.86,132.63
4/3/2018,157.26,225.35,64.49,134.28
4/4/2018,159.74,226.24,65.39,135.79
4/5/2018,160.65,221.38,65.66,136.74
4/6/2018,156.63,214.25,64.05,133.87
4/9/2018,157.73,215.41,64.55,134.32
4/10/2018,161.21,227.91,66.14,136.5
4/11/2018,160.28,226.24,65.75,135.87
4/12/2018,162.21,234.6,66.54,136.97
4/13/2018,161.37,231.5,66.32,136.58
4/16/2018,162.6,231.49,66.83,137.72
4/17/2018,166.1,237.54,68.07,139.17
4/18/2018,166.44,236.37,67.89,139.36
4/19/2018,164.91,229.04,67.14,138.6
4/20/2018,162.3,228.71,66.21,137.5
4/23/2018,161.89,223.88,65.97,137.45
4/24/2018,158.46,221.2,64.82,135.8
4/25/2018,158.65,216.66,64.83,135.95
4/26/2018,161.99,225.22,66.01,137.24
4/27/2018,162.09,226.33,65.89,137.33
4/30/2018,160.94,224.9,65.46,136.33
5/1/2018,162.78,227.14,66.28,136.54
5/2/2018,161.82,226.31,66.21,135.75
5/3/2018,161.8,232.99,66.36,135.38
5/4/2018,164.87,239.06,67.62,137.13
5/7/2018,166.24,248.68,68.09,137.73
5/8/2018,166.07,250.4,68.24,137.78
5/9/2018,167.88,255.78,69.08,139.08
5/10/2018,169.62,260.13,69.98,140.29
5/11/2018,169.46,254.53,69.88,140.57
5/14/2018,169.75,255.36,69.87,140.64
5/15/2018,167.87,245.56,69.21,139.79
5/16/2018,168.98,246.01,69.52,140.47
5/17/2018,168.33,247.71,69.16,140.51
5/18/2018,167.46,245.94,68.87,140.2
5/21/2018,168.4,244.24,69.47,141.25
5/22/2018,168.18,242.7,69.37,140.73
5/23/2018,169.6,247.54,69.88,141.1
5/24/2018,169.55,247.69,69.8,140.87
5/25/2018,169.72,249.28,69.75,140.6
5/29/2018,168.97,248.59,69.37,139.21
5/30/2018,170.18,252.99,69.88,141.01
5/31/2018,170.07,252.19,69.9,140.04
6/1/2018,172.74,257.62,71.09,141.5
6/4/2018,174.3,264.85,71.66,142.16
6/5/2018,174.84,265.07,71.91,142.37
6/6/2018,175.86,265.15,72.38,143.63
6/7/2018,174.43,262.9,71.8,143.42
6/8/2018,174.44,262.28,71.68,143.91
6/11/2018,174.91,260.62,71.76,144.12
6/12/2018,175.83,262.58,72.11,144.42
6/13/2018,175.82,262.4,71.74,143.88
6/14/2018,177.6,266.91,72.25,144.29
6/15/2018,176.98,265.26,71.72,144.15
6/18/2018,176.5,265.09,71.8,143.99
6/19/2018,176,260.17,71.43,143.51
6/20/2018,177.25,262.31,71.58,143.84
6/21/2018,175.71,257.11,71.03,142.85
6/22/2018,175.32,250.95,70.8,142.45
6/25/2018,171.37,239.12,69.33,140.45
6/26/2018,172.07,241.99,69.61,140.77
6/27/2018,169.73,235.72,68.66,139.46
6/28/2018,171.19,240.86,69.5,140.33
6/29/2018,171.65,236.9,69.47,140.43
7/2/2018,172.8,242.24,70.09,140.77
7/3/2018,170.8,236.84,69.26,140.41
7/5/2018,172.92,242.73,70.24,141.6
7/6/2018,175.61,247.33,71.06,142.79
7/9/2018,177.19,249.25,71.6,144.09
7/10/2018,177.32,253.25,71.77,144.46
7/11/2018,176.42,247.53,71.49,143.43
7/12/2018,179.46,251.23,72.62,144.61
7/13/2018,179.61,249.32,72.54,144.7
7/16/2018,179.18,248.2,72.37,144.47
7/17/2018,180.27,253.69,72.91,145.13
7/18/2018,179.93,251.7,72.79,145.45
7/19/2018,179.03,252.03,72.53,145.1
7/20/2018,178.99,250.89,72.55,144.84
7/23/2018,179.56,249.41,72.92,145.07
7/24/2018,180.3,248.71,73.32,145.39
7/25/2018,182.82,251.87,74.24,146.63
7/26/2018,180.05,254.84,73.1,146.39
7/27/2018,177.62,252.02,71.85,145.22
7/30/2018,175.11,244.13,70.73,144.27
7/31/2018,176.45,244.86,70.92,145.09
8/1/2018,177.12,246.47,71.56,144.92
8/2/2018,179.53,250.62,72.46,145.78
8/3/2018,180.08,252.1,72.72,146.27
8/6/2018,181.14,254.03,73.11,146.93
8/7/2018,181.8,256.95,73.39,147.41
8/8/2018,182.02,258.42,73.59,147.27
8/9/2018,181.91,256.46,73.62,147.17
8/10/2018,180.52,254.79,73.03,146.25
8/13/2018,180.32,256.12,72.93,145.69
8/14/2018,181.45,261.43,73.38,146.65
8/15/2018,179.23,259.08,72.72,145.49
8/16/2018,179.82,257.44,73.04,146.63
8/17/2018,179.86,244.82,73.15,147.17
8/20/2018,179.7,247.84,73.04,147.45
8/21/2018,180.36,253.32,73.16,148
8/22/2018,181.06,262.82,73.38,148.05
8/23/2018,180.8,266.84,73.54,147.76
8/24/2018,182.48,272.22,74.28,148.68
8/27/2018,184.34,275.9,74.96,149.75
8/28/2018,184.61,274.38,75.09,149.84
