timestamp,symbol,bid,ask
2024-01-15 09:30:02,AAPL,150.05,150.15
2024-01-15 09:30:45,AAPL,150.07,150.17
2024-01-15 09:31:28,AAPL,150.10,150.20
2024-01-15 09:32:11,AAPL,150.08,150.18
2024-01-15 09:32:54,AAPL,150.12,150.22
2024-01-15 09:33:37,AAPL,150.15,150.25
2024-01-15 09:34:20,AAPL,150.13,150.23
2024-01-15 09:35:03,AAPL,150.18,150.28
2024-01-15 09:35:46,AAPL,150.20,150.30
2024-01-15 09:36:29,AAPL,150.17,150.27
2024-01-15 09:37:12,AAPL,150.22,150.32
2024-01-15 09:37:55,AAPL,150.25,150.35
2024-01-15 09:38:38,AAPL,150.23,150.33
2024-01-15 09:39:21,AAPL,150.27,150.37
2024-01-15 09:40:04,AAPL,150.30,150.40
2024-01-15 09:40:47,AAPL,150.28,150.38
2024-01-15 09:41:30,AAPL,150.32,150.42
2024-01-15 09:42:13,AAPL,150.35,150.45
2024-01-15 09:42:56,AAPL,150.33,150.43
2024-01-15 09:43:39,AAPL,150.37,150.47
2024-01-15 09:30:15,MSFT,300.10,300.25
2024-01-15 09:31:02,MSFT,300.15,300.30
2024-01-15 09:31:49,MSFT,300.18,300.33
2024-01-15 09:32:36,MSFT,300.20,300.35
2024-01-15 09:33:23,MSFT,300.23,300.38
2024-01-15 09:34:10,MSFT,300.25,300.40
2024-01-15 09:34:57,MSFT,300.28,300.43
2024-01-15 09:35:44,MSFT,300.30,300.45
2024-01-15 09:36:31,MSFT,300.33,300.48
2024-01-15 09:37:18,MSFT,300.35,300.50
2024-01-15 09:38:05,MSFT,300.38,300.53
2024-01-15 09:38:52,MSFT,300.40,300.55
2024-01-15 09:39:39,MSFT,300.42,300.57
2024-01-15 09:40:26,MSFT,300.45,300.60
2024-01-15 09:41:13,MSFT,300.47,300.62
2024-01-15 09:30:08,GOOGL,120.05,120.15
2024-01-15 09:30:52,GOOGL,120.08,120.18
2024-01-15 09:31:36,GOOGL,120.10,120.20
2024-01-15 09:32:20,GOOGL,120.12,120.22
2024-01-15 09:33:04,GOOGL,120.15,120.25
2024-01-15 09:33:48,GOOGL,120.17,120.27
2024-01-15 09:34:32,GOOGL,120.20,120.30
2024-01-15 09:35:16,GOOGL,120.22,120.32
2024-01-15 09:36:00,GOOGL,120.25,120.35
2024-01-15 09:36:44,GOOGL,120.27,120.37
2024-01-15 09:37:28,GOOGL,120.30,120.40
2024-01-15 09:38:12,GOOGL,120.32,120.42
2024-01-15 09:38:56,GOOGL,120.35,120.45
2024-01-15 09:39:40,GOOGL,120.37,120.47
2024-01-15 09:40:24,GOOGL,120.40,120.50
