Price_Date,AAPL,MSFT,XOM,BAC,UNH
5/7/2003,8.75,26.38,35.2,37.205,47.04
5/8/2003,8.75,26.38,35.2,37.205,47.04
5/19/2003,9.05,24.8,35.04,36.235,47.15
5/20/2003,8.895,24.63,35.32,36.255,47.875
5/21/2003,8.925,24.03,35.79,36.525,48.95
5/22/2003,9.12,24.16,35.95,36.56,48.395
6/5/2003,8.82,24.09,37.16,38.36,48.505
6/6/2003,8.575,23.67,37.34,38.46,48.93
6/9/2003,8.395,23.75,37.46,37.915,48.575
6/10/2003,8.655,24.88,36.98,37.855,47.995
6/11/2003,8.725,24.88,38.2,39.195,50.625
6/12/2003,8.885,24.99,38.2,39.22,51.01
6/16/2003,9.135,25.39,38.31,39.945,51.5
6/17/2003,9.095,25.959,37.67,39.92,52.445
6/19/2003,9.57,26.07,36.88,39.205,24.965
6/20/2003,9.6,26.33,36.89,39.455,25.295
6/23/2003,9.53,25.78,36.94,38.96,25.165
7/12/2003,10.4295,27.08,35.88,41.575,26.22
7/19/2003,10.4295,27.08,35.88,41.575,26.22
7/20/2003,10.4295,27.08,35.88,41.575,26.22
7/21/2003,10.4295,27.08,35.88,41.575,26.22
7/22/2003,10.4,26.38,35.72,41.595,26.415
7/23/2003,10.395,26.45,35.67,41.68,27.255
7/24/2003,10.255,26,35.25,40.98,26.625
7/25/2003,10.77,26.89,35.76,41.765,27.055
7/28/2003,10.495,26.61,35.75,41.415,27.335
7/29/2003,10.36,26.47,35.43,41.44,27.575
7/30/2003,10.14,26.23,35.32,41.375,27.375
7/31/2003,10.54,26.41,35.58,41.285,26.045
8/1/2003,10.365,26.17,35.33,40.37,26.25
8/4/2003,10.605,26.18,35.61,40.8,26.215
8/5/2003,10.19,25.66,35.35,39.9,25.425
8/6/2003,9.815,25.65,35.75,40.3,24.395
8/7/2003,9.965,25.71,36.25,40.265,24.985
8/8/2003,9.82,25.64,36.52,40.645,24.935
8/11/2003,9.83,25.61,36.52,40.305,25.39
8/12/2003,9.85,25.73,36.71,40.715,25.58
8/13/2003,10.09,25.6,36.5,40.395,25.22
8/14/2003,9.985,25.63,36.94,40.71,25.605
8/15/2003,9.855,25.46,36.83,40.75,25.605
8/18/2003,10.17,25.7,36.92,40.535,25.83
8/19/2003,10.16,26.62,36.68,40.605,25.735
8/20/2003,10.505,26.45,36.8,40.855,25.15
8/21/2003,10.84,26.24,37.05,40.495,24.79
8/22/2003,10.44,26.22,36.53,39.19,24.455
8/25/2003,10.43,26.5,36.77,38.83,24.35
